rate_hz,split,activity,f1,file
6,loso_sbj_16,nan,0.4964336661911555,logs/deepconvlstm/standard_cnn_nolstm/6hz/loso_sbj_16/per_class_metrics_loso_sbj_16.csv
6,loso_sbj_16,bench-dips,0.7669491525423728,logs/deepconvlstm/standard_cnn_nolstm/6hz/loso_sbj_16/per_class_metrics_loso_sbj_16.csv
6,loso_sbj_16,burpees,0.616822429906542,logs/deepconvlstm/standard_cnn_nolstm/6hz/loso_sbj_16/per_class_metrics_loso_sbj_16.csv
6,loso_sbj_16,jogging,0.8691588785046729,logs/deepconvlstm/standard_cnn_nolstm/6hz/loso_sbj_16/per_class_metrics_loso_sbj_16.csv
6,loso_sbj_16,jogging (butt-kicks),0.947945205479452,logs/deepconvlstm/standard_cnn_nolstm/6hz/loso_sbj_16/per_class_metrics_loso_sbj_16.csv
6,loso_sbj_16,jogging (rotating arms),0.6804123711340206,logs/deepconvlstm/standard_cnn_nolstm/6hz/loso_sbj_16/per_class_metrics_loso_sbj_16.csv
6,loso_sbj_16,jogging (sidesteps),0.8818897637795275,logs/deepconvlstm/standard_cnn_nolstm/6hz/loso_sbj_16/per_class_metrics_loso_sbj_16.csv
6,loso_sbj_16,jogging (skipping),0.905940594059406,logs/deepconvlstm/standard_cnn_nolstm/6hz/loso_sbj_16/per_class_metrics_loso_sbj_16.csv
6,loso_sbj_16,lunges,0.5146579804560261,logs/deepconvlstm/standard_cnn_nolstm/6hz/loso_sbj_16/per_class_metrics_loso_sbj_16.csv
6,loso_sbj_16,lunges (complex),0.7494646680942184,logs/deepconvlstm/standard_cnn_nolstm/6hz/loso_sbj_16/per_class_metrics_loso_sbj_16.csv
6,loso_sbj_16,push-ups,0.6506986027944112,logs/deepconvlstm/standard_cnn_nolstm/6hz/loso_sbj_16/per_class_metrics_loso_sbj_16.csv
6,loso_sbj_16,push-ups (complex),0.6141732283464567,logs/deepconvlstm/standard_cnn_nolstm/6hz/loso_sbj_16/per_class_metrics_loso_sbj_16.csv
6,loso_sbj_16,sit-ups,0.524904214559387,logs/deepconvlstm/standard_cnn_nolstm/6hz/loso_sbj_16/per_class_metrics_loso_sbj_16.csv
6,loso_sbj_16,sit-ups (complex),0.5156695156695157,logs/deepconvlstm/standard_cnn_nolstm/6hz/loso_sbj_16/per_class_metrics_loso_sbj_16.csv
6,loso_sbj_16,stretching (hamstrings),0.6755725190839694,logs/deepconvlstm/standard_cnn_nolstm/6hz/loso_sbj_16/per_class_metrics_loso_sbj_16.csv
